SEQC_NB001	SEQC_NB002	SEQC_NB003	SEQC_NB004	SEQC_NB005	SEQC_NB006
UKv4_A_23_P15272	-0.129072487	0.02312794	-0.021633372	-0.029933722	-0.21159502
UKv4_A_23_P97947	-0.412567415	-0.280677744	0.002435572	-0.174800803	0.479812247
UKv4_A_23_P253074	0.746022341	-0.278967126	-0.269008633	0.395330976	-0.329137201
UKv4_A_32_P176701	1.147453715	1.295485303	1.193179734	1.514210828	1.099633675
UKv4_A_23_P15678	-1.735756818	-1.827418167	-2.235976248	-1.858993571	-1.969425084
UKv4_A_24_P313678	0.573432418	0.468914884	0.452725405	0.574833639	0.505147154
UKv4_A_23_P59202	1.167269595	1.334487384	1.188499661	1.204297674	1.124673989
UKv4_A_23_P377318	-0.653554084	-0.115089961	-0.15200682	-0.157934781	0.010527298
UKv4_A_23_P138574	-0.426310686	-0.5099005	-0.426459644	-0.394962626	-0.31529138
UKv4_A_23_P121122	0.865237231	0.741245204	0.859891713	0.847099422	0.936429744
UKv4_A_23_P257871	0.65333516	0.627660196	0.483145877	0.783249482	0.76055836
UKv4_A_23_P149301	1.041662485	0.670767759	0.938115782	0.887457403	0.934073008
UKv4_A_23_P350555	0.031691829	0.235586645	0.11776593	0.265522842	0.030854141
UKv4_A_23_P18452	0.890486498	0.760746244	-0.92655882	0.450446726	-0.101417637
UKv4_A_23_P151120	-0.022642035	-0.30462639	0.018147244	0.163423173	0.181390619
UKv4_A_23_P378555	-0.476489608	-0.57798308	-0.834294533	-0.557599267	-0.648769448
UKv4_A_23_P120153	1.334426131	1.111080727	1.438549249	1.235921465	1.395403975
UKv4_A_23_P34578	1.151928269	1.138108485	1.039405923	0.892878625	1.100812042
UKv4_A_23_P143089	0.584299191	0.574973174	0.570730091	0.642900084	0.618270456
UKv4_A_23_P47904	-1.177076848	-1.363840801	-1.739554272	-1.826767422	-1.847169432
UKv4_A_23_P117727	-0.015610594	-0.07608788	0.026838807	0.175169153	0.103323757
UKv4_A_23_P74344	0.675068706	0.822328478	0.68672903	0.77210586	0.553165639
UKv4_A_23_P422245	-1.903552576	-2.028586796	-1.008125798	-1.722258322	-1.373171012
UKv4_A_23_P87700	-0.350882498	-0.554718681	0.008787099	-0.452788987	0.911978613
UKv4_A_24_P417189	0.20044642	0.128844107	0.109408658	-0.041378522	0.103912941
UKv4_A_23_P257355	-0.940245121	-0.797968502	-0.867055041	-0.331112686	-0.930104744
UKv4_A_23_P143083	-0.011775262	0.115843414	0.044221934	-0.060051618	-0.00596985
UKv4_A_24_P308029	-0.755829593	-0.077456374	-0.238253871	-0.258227377	-0.262854016
UKv4_A_23_P126349	-1.64051275	-1.116485497	-1.195662989	-1.768639882	-0.803724805
UKv4_A_23_P17345	1.300227757	1.190453383	0.968536253	1.25489574	1.07606632
UKv4_A_23_P23380	0.071323589	0.177083523	-0.026313445	-0.124202737	0.043816186
UKv4_A_23_P42507	0.345230188	0.246876721	0.346420901	0.348045878	0.323089339
